Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
22.7270102,-102.496917,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7282788,-102.5121068,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
22.7293667,-102.5230223,Calle Solidaridad,No especificada,Guadalupe,Zacatecas,98600
22.7374611,-102.513728,Calle Libramiento Tránsito Pesado,No especificada,Guadalupe,Zacatecas,98600
22.7303961,-102.502869,Privada Pirita,No especificada,Guadalupe,Zacatecas,98605
22.7139601,-102.5238529,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7241239,-102.5085534,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.727206,-102.5040764,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7100689,-102.5168252,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
22.7143323,-102.510528,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7307438,-102.4978797,Calle Mina Muzo,No especificada,Guadalupe,Zacatecas,98605
22.7099938,-102.5116898,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7112216,-102.5115648,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7023951,-102.5217846,Cerrada Arteisco,No especificada,No especificado,Zacatecas,98605
22.7016705,-102.5210704,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
22.7344362,-102.5195505,Calle no registrada,No especificada,Guadalupe,Zacatecas,98600
22.698121,-102.5218543,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
22.7358618,-102.4988289,Prolongación Valenciana,No especificada,Guadalupe,Zacatecas,98605
22.7194517,-102.5086527,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7259183,-102.5120472,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7087236,-102.5049417,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7094348,-102.5094373,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7046216,-102.524833,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7178175,-102.5214371,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7138558,-102.493859,Calle Latino,No especificada,Cieneguitas,Zacatecas,98605
22.71684,-102.499342,Calle Guadalupe,No especificada,Cieneguitas,Zacatecas,98605
22.7505469,-102.513878,Calle Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
22.7485845,-102.5130776,Calle Francia,No especificada,Guadalupe,Zacatecas,98600
22.7512266,-102.5194932,Calle Ocampo,No especificada,Guadalupe,Zacatecas,98600
22.749354,-102.5194378,Calle San Antonio,No especificada,Guadalupe,Zacatecas,98600
22.7492239,-102.5109824,Calle Félix U. Gómez,No especificada,Guadalupe,Zacatecas,98613
22.7489565,-102.5046787,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7544785,-102.5247103,Avenida Heróico Colegio Militar,No especificada,Guadalupe,Zacatecas,98600
22.7504672,-102.5044598,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7474738,-102.5063479,Calle no registrada,No especificada,Guadalupe,Zacatecas,98613
22.7542198,-102.5189186,Calle 9 de Agosto,No especificada,Guadalupe,Zacatecas,98613
22.7509887,-102.5128997,Calle Telégrafos,No especificada,Guadalupe,Zacatecas,98600
22.7532666,-102.5248193,Boulevard José López Portillo,No especificada,Guadalupe,Zacatecas,98608
22.7514252,-102.5007165,Calle San Pedro,No especificada,Guadalupe,Zacatecas,98615
22.7520471,-102.5167472,Calle Aurora,No especificada,Guadalupe,Zacatecas,98613
22.7484008,-102.5095275,Calle Felipe Ángeles,No especificada,Guadalupe,Zacatecas,98613
22.7556767,-102.5164865,Privada Primera Niños Héroes,No especificada,Guadalupe,Zacatecas,98613
22.7506536,-102.5111359,Calle Telégrafos,No especificada,Guadalupe,Zacatecas,98600
22.7453066,-102.5059671,Prolongación de 1910,No especificada,Guadalupe,Zacatecas,98600
22.7460876,-102.504032,Calle Secretaria de Educación Pública,No especificada,Guadalupe,Zacatecas,98613
22.7549201,-102.5086092,Calle Lázaro Cárdenas,No especificada,Guadalupe,Zacatecas,98613
22.7552506,-102.5169396,Calle Zempoala,No especificada,Guadalupe,Zacatecas,98613
22.7510662,-102.5050108,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7492048,-102.5107358,Calle Félix U. Gómez,No especificada,Guadalupe,Zacatecas,98613
22.748186,-102.5069884,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7486842,-102.5002916,Calle Secretaría P. Fomento Industrial,No especificada,Guadalupe,Zacatecas,98605
22.7536031,-102.5102532,Calle Francisco Villa,No especificada,Guadalupe,Zacatecas,98613
22.7527558,-102.510569,Calle Miguel Hidalgo,No especificada,Guadalupe,Zacatecas,98613
22.7507144,-102.5132859,Calle Segunda de Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
22.7528916,-102.507804,Privada Francisco Villa,No especificada,Guadalupe,Zacatecas,98613
22.7560095,-102.5114833,Calle Pedro Ruíz González,No especificada,Guadalupe,Zacatecas,98613
22.7512012,-102.5054946,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7515299,-102.5186697,Calle del Ángel,No especificada,Guadalupe,Zacatecas,98600
22.7519511,-102.5199409,Calle Ocampo,No especificada,Guadalupe,Zacatecas,98600
22.7496811,-102.5131409,Calle del Ángel,No especificada,Guadalupe,Zacatecas,98613
22.7492275,-102.518601,Alameda Adolfo López Mateos,No especificada,Guadalupe,Zacatecas,98600
22.7520316,-102.5131915,Calle 5 de Mayo,No especificada,Guadalupe,Zacatecas,98613
22.7518884,-102.5220042,Calle San Rafaél,No especificada,Guadalupe,Zacatecas,98600
22.7499014,-102.5092683,Calle Felipe Ángeles,No especificada,Guadalupe,Zacatecas,98613
22.7533303,-102.5177183,Calle 5 de Mayo,No especificada,Guadalupe,Zacatecas,98600
22.7553597,-102.5170112,Calle no registrada,No especificada,Guadalupe,Zacatecas,98613
22.751461,-102.5126787,Calle Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
22.755574,-102.5088997,Carretera Saucedo de la Borda,No especificada,Guadalupe,Zacatecas,98615
22.751092,-102.5088041,Calle Felipe Ángeles,No especificada,Guadalupe,Zacatecas,98613
22.7466853,-102.4994849,Calle Secretaria de la Reforma Agraria,No especificada,Guadalupe,Zacatecas,98605
22.7502631,-102.5053779,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7541614,-102.5177638,Calle 24 de Febrero,No especificada,Guadalupe,Zacatecas,98613
22.7491636,-102.5020138,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
22.7514964,-102.4995818,Calle no registrada,No especificada,Guadalupe,Zacatecas,98615
22.7519378,-102.5156715,Calle Telégrafos,No especificada,Guadalupe,Zacatecas,98600
22.7460728,-102.5082627,Prolongación de 1910,No especificada,Guadalupe,Zacatecas,98600
22.7426325,-102.5009156,Calle Libramiento Tránsito Pesado,No especificada,Guadalupe,Zacatecas,98605
